price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,$/sqft,Barato/Caro,,,,,
"500,000.00",3,1.75,1540,10800,1,5,6,770,46.30,Barato,,,,,
"525,000.00",4,1.5,1170,6240,1,4,6,1170,84.13,Barato,,Desvio Padrão,,,
"550,000.00",3,1.75,1830,9720,1,3,7,1150,56.58,Barato,,"737,993,072.74",,,
"550,000.00",3,1.5,1340,6000,1,4,7,1340,91.67,Barato,,,,,
"554,000.00",2,1,820,3700,1,5,7,820,149.73,Barato,,-1.16294333171949,,,
"571,500.00",3,1,1300,6710,1,4,6,1300,85.17,Barato,,,,,
"572,000.00",3,1.5,1680,13751,1,4,7,1680,41.60,Barato,,,,,
"587,100.00",2,1,1190,6967,1,3,7,1190,84.27,Barato,,,,,
"597,326.00",4,4,3570,8250,2,3,10,2860,72.40,Barato,,,,,
"604,000.00",3,1,1440,13824,1,4,7,1440,43.69,Barato,,,,,21030.91
"610,000.00",4,1.75,1830,29110,2,3,8,1230,20.95,Barato,,,,,
"616,000.00",3,1.5,1740,9840,1,4,8,1740,62.60,Barato,,,,,
"623,000.00",3,1.75,2050,16313,1,2,8,2050,38.19,Barato,,,,,
"624,800.00",3,2,2250,14274,1,4,8,1500,43.77,Barato,,,,,
"630,000.00",2,1,1050,8382,1,3,7,1050,75.16,Barato,,,,,
"645,000.00",4,1.75,1550,7350,1.5,4,8,1550,87.76,Barato,,0.859887126676616,,,
"648,752.00",3,2.25,2060,9953,1,5,8,1070,65.18,Barato,,4,,,
"650,000.00",3,1.5,1380,4500,1,5,7,1380,144.44,Barato,,,,,
"650,000.00",3,1.75,1940,10245,1,3,7,1940,63.45,Barato,,,,,
"659,000.00",4,2,2090,10800,1,4,7,2090,61.02,Barato,,,,,
"670,000.00",3,1,1600,16868,1,3,7,990,39.72,Barato,,,,,
"677,500.00",3,1.75,2020,9718,1,3,8,2020,69.72,Barato,,,,,
"680,000.00",3,1.75,2330,9652,1,4,8,1590,70.45,Barato,,,,,
"685,000.00",3,2.5,1460,8800,1,4,7,1460,77.84,Barato,,,,,
"685,000.00",3,1.75,1650,8400,1,3,8,1470,81.55,Barato,,,,,
"685,000.00",3,1.5,2230,8558,2,3,8,2230,80.04,Barato,,,,,
"690,000.00",3,1.5,1710,17707,1,4,7,1180,38.97,Barato,,,,,
"693,000.00",3,2.25,2120,13644,2,4,9,1420,50.79,Barato,,,,,
"698,000.00",3,1.5,1090,7200,1,4,7,1090,96.94,Barato,,,,,
"699,000.00",3,2.5,2740,18455,2,4,10,1510,37.88,Barato,,,,,
"705,000.00",3,1.75,2180,10221,1,4,7,1140,68.98,Barato,,,,,
"705,000.00",4,1.75,1690,11739,1,4,8,1690,60.06,Barato,,,,,
"710,000.00",3,2,1780,9732,1,3,8,1780,72.96,Barato,,,,,
"711,000.00",4,1.75,1980,10800,1,5,6,990,65.83,Barato,,,,,
"713,250.00",3,2,2050,9000,1,4,7,2050,79.25,Barato,,,,,
"713,400.00",3,2.25,1810,9845,1,4,8,1810,72.46,Barato,,,,,
"715,000.00",4,2.5,2450,7700,1,3,8,1250,92.86,Barato,,,,,
"715,000.00",4,2.25,1900,8272,1,4,9,1460,86.44,Barato,,,,,
"725,000.00",3,2,1550,12262,1,4,7,1550,59.13,Barato,,,,,
"740,000.00",3,1.75,2020,9478,1,4,9,2020,78.08,Barato,,,,,
"741,000.00",4,2.75,2070,10125,1,3,7,1390,73.19,Barato,,,,,
"743,000.00",3,1.75,2110,11250,1,4,8,2110,66.04,Barato,,,,,
"750,000.00",5,2.25,2020,8400,1,4,7,1010,89.29,Barato,,,,,
"750,000.00",4,2.25,2160,9525,1,3,8,1080,78.74,Barato,,,,,
"754,000.00",5,3.5,3020,15305,2,3,10,2230,49.26,Barato,,,,,
"760,000.00",3,2.5,1980,13964,1,5,7,1980,54.43,Barato,,,,,
"760,000.00",3,2.5,2190,10000,1,4,7,1540,76.00,Barato,,,,,
"760,250.00",5,2.75,2540,8250,1,4,7,1440,92.15,Barato,,,,,
"762,400.00",3,1.75,2430,14607,1,3,8,1230,52.19,Barato,,,,,
"762,500.00",4,2.75,2610,8760,1,4,8,1760,87.04,Barato,,,,,
"769,000.00",4,2.75,3630,15405,1,4,8,1850,49.92,Barato,,,,,
"770,000.00",4,3,2320,7200,1,3,7,1260,106.94,Barato,,,,,
"780,000.00",4,2.5,2270,13449,1,4,9,1310,58.00,Barato,,,,,
"780,000.00",3,1.75,1690,13500,1,4,7,1690,57.78,Barato,,,,,
"780,000.00",3,1.75,2340,10495,1,4,8,2340,74.32,Barato,,,,,
"780,000.00",3,2.25,2130,11782,1,4,8,1590,66.20,Barato,,,,,
"785,000.00",3,2,1600,9638,1,5,7,1600,81.45,Barato,,,,,
"785,000.00",3,1.75,1670,9600,1,5,8,1670,81.77,Barato,,,,,
"787,888.00",4,2.25,2580,21115,2,4,9,2580,37.31,Barato,,,,,
"795,000.00",4,2.25,2070,13084,1,4,8,1700,60.76,Barato,,,,,
"795,000.00",3,1.75,1930,9600,1,3,8,1930,82.81,Barato,,,,,
"799,000.00",3,2.5,2140,9897,1,4,8,2140,80.73,Barato,,,,,
"799,000.00",4,2.25,2510,11585,2,4,8,2510,68.97,Barato,,,,,
"800,000.00",3,2.25,2380,11824,1,4,9,1450,67.66,Barato,,,,,
"800,000.00",4,2.25,2350,10664,1,2,7,1510,75.02,Barato,,,,,
"800,000.00",4,2.5,2390,10000,1,3,9,1590,80.00,Barato,,,,,
"800,000.00",3,1.75,1890,10292,1,4,8,1890,77.73,Barato,,,,,
"811,000.00",3,1.75,1870,9897,1,4,8,1870,81.94,Barato,,,,,
"815,000.00",3,2,2270,11989,1,4,9,2270,67.98,Barato,,,,,
"820,000.00",5,2.5,3160,8000,1,4,7,1580,102.50,Barato,,,,,
"821,000.00",3,2.75,2760,8476,1,4,8,1690,96.86,Barato,,,,,
"825,000.00",4,2.25,2110,12653,2,4,8,2110,65.20,Barato,,,,,
"830,000.00",5,3,3040,9601,1,5,9,1970,86.45,Barato,,,,,
"830,000.00",3,1.5,1840,10125,1,4,8,1220,81.98,Barato,,,,,
"830,000.00",4,2.75,2090,13500,1,4,8,2090,61.48,Barato,,,,,
"832,500.00",3,2,1870,9527,1,4,7,1870,87.38,Barato,,,,,
"838,400.00",4,2.5,2620,9525,2.5,4,9,2620,88.02,Barato,,,,,
"840,000.00",4,1.75,2480,11010,1,4,9,1630,76.29,Barato,,,,,
"840,000.00",5,1.75,2500,11617,1,4,9,1560,72.31,Barato,,,,,
"840,000.00",4,2.5,2360,9600,1,3,8,1630,87.50,Barato,,,,,
"842,000.00",4,1.75,2170,9525,1,3,8,2170,88.40,Barato,,,,,
"850,000.00",4,2.25,2130,11843,2,4,9,2130,71.77,Barato,,,,,
"850,000.00",4,1.75,2350,11914,1,4,8,2350,71.34,Barato,,,,,
"850,000.00",4,2.5,3180,11652,2,3,9,3180,72.95,Barato,,,,,
"850,000.00",3,2,2470,8800,2,3,9,2470,96.59,Barato,,,,,
"855,000.00",4,2.75,2270,10460,2,3,9,2270,81.74,Barato,,,,,
"865,000.00",5,3,2830,8854,1,4,8,1500,97.70,Barato,,,,,
"865,000.00",4,2.5,2260,13600,1,4,8,1770,63.60,Barato,,,,,
"868,500.00",5,2.5,2490,9639,1,4,8,1610,90.10,Barato,,,,,
"870,000.00",4,3,4500,21780,2,3,9,3040,39.94,Barato,,,,,
"870,000.00",5,2.25,2910,9525,2,4,9,2910,91.34,Barato,,,,,
"875,000.00",4,1.75,2180,9726,1,4,9,2180,89.97,Barato,,,,,
"875,000.00",3,2.5,1690,10592,1,3,8,1690,82.61,Barato,,,,,
"876,650.00",3,3.25,2170,12508,1.5,5,9,1650,70.09,Barato,,,,,
"880,000.00",4,2,2530,10800,1,5,8,1350,81.48,Barato,,,,,
"880,000.00",4,2.5,2340,10800,1,3,8,2340,81.48,Barato,,,,,
"884,900.00",7,4.75,5370,10800,1.5,3,8,5370,81.94,Barato,,,,,
"885,000.00",3,3.25,2640,16090,1,4,8,1960,55.00,Barato,,,,,
"885,000.00",3,2.25,2060,9552,1,4,9,1610,92.65,Barato,,,,,
"890,000.00",4,2.25,2870,8393,1,4,8,1480,106.04,Barato,,,,,
"890,000.00",4,2.25,2770,13500,2,3,8,2770,65.93,Barato,,,,,
"895,000.00",4,3,3500,13444,2,3,10,2360,66.57,Barato,,,,,
"895,000.00",5,3,2876,13927,1,4,9,1970,64.26,Barato,,,,,
"896,000.00",5,2.75,2520,16100,1,4,8,1570,55.65,Barato,,,,,
"899,100.00",5,2.5,2410,15300,1,4,8,1400,58.76,Barato,,,,,
"900,000.00",6,2.75,2300,24773,1.5,4,9,2300,36.33,Barato,,,,,
"900,000.00",6,3,3020,13783,2,3,8,3020,65.30,Barato,,,,,
"905,000.00",4,2.5,3300,10250,1,3,7,2390,88.29,Barato,,,,,
"905,000.00",4,3.5,2970,14486,2,3,9,2340,62.47,Barato,,,,,
"910,000.00",3,2.25,2180,9865,1,4,8,1660,92.25,Barato,,,,,
"925,000.00",4,2.5,2190,7350,2.5,5,8,2190,125.85,Barato,,,,,
"925,000.00",4,2,3140,10437,1,4,8,2040,88.63,Barato,,,,,
"926,250.00",4,1.75,2390,17717,1,4,8,2390,52.28,Barato,,,,,
"938,000.00",4,2.5,2410,9886,1,5,8,1990,94.88,Barato,,,,,
"939,000.00",4,2.25,2240,9684,2,4,9,2240,96.96,Barato,,,,,
"940,000.00",4,2,2490,9525,2,5,9,2490,98.69,Barato,,,,,
"940,000.00",4,3,2720,11740,1,5,9,2720,80.07,Barato,,,,,
"947,500.00",4,2.25,3290,12329,1.5,4,10,3290,76.85,Barato,,,,,
"950,000.00",3,3.25,3330,15093,2.5,3,9,3330,62.94,Barato,,,,,
"950,000.00",3,1,1720,9830,1,4,7,1720,96.64,Barato,,,,,
"950,000.00",4,1.75,2500,92347,1,4,8,1500,10.29,Barato,,,,,
"950,000.00",4,2.5,2790,15653,2,4,10,2790,60.69,Barato,,,,,
"955,000.00",5,2.25,2510,9887,2,3,8,2510,96.59,Barato,,,,,
"957,500.00",4,2.25,2360,11523,2,4,10,2360,83.09,Barato,,,,,
"959,000.00",6,3.25,4440,17424,1,4,9,2220,55.04,Barato,,,,,
"960,000.00",4,2.5,3180,10105,2,4,9,3180,95.00,Barato,,,,,
"968,000.00",4,1.75,2630,9645,1,4,9,2630,100.36,Barato,,,,,
"970,000.00",5,3,3480,15185,2,4,8,3480,63.88,Barato,,,,,
"970,500.00",3,2.75,2470,10125,2,3,8,2470,95.85,Barato,,,,,
"975,000.00",4,2.25,2240,9990,2,4,10,2240,97.60,Barato,,,,,
"975,000.00",5,2.75,3100,10014,1,4,9,1660,97.36,Barato,,,,,
"980,000.00",5,2.5,3160,11470,1,4,9,1780,85.44,Barato,,,,,
"980,000.00",4,1.75,2260,17711,1,4,9,2260,55.33,Barato,,,,,
"980,000.00",4,2.25,3010,9800,2,4,9,3010,100.00,Barato,,,,,
"984,000.00",4,2.25,2390,12292,1,5,9,2390,80.05,Barato,,,,,
"987,500.00",4,2.25,3270,15760,1,4,10,2000,62.66,Barato,,,,,
"989,900.00",5,2.25,3320,11350,1,5,8,1660,87.22,Barato,,,,,
"990,000.00",3,1.75,1810,24586,1,4,9,930,40.27,Barato,,,,,
"990,000.00",3,2.25,2630,12899,2,4,9,2630,76.75,Barato,,,,,
"992,000.00",3,2.25,2950,15207,1,4,10,2070,65.23,Barato,,,,,
"993,500.00",4,2.25,4070,23321,2,4,10,4070,42.60,Barato,,,,,
"994,000.00",4,2.5,3470,20445,2,4,10,3470,48.62,Barato,,,,,
"995,000.00",4,2.25,2340,13406,1,4,9,2340,74.22,Barato,,,,,
"996,000.00",3,3.25,3620,8131,2,4,10,2730,122.49,Barato,,,,,
"998,000.00",5,3.5,3760,10207,2,3,10,3150,97.78,Barato,,,,,
"998,000.00",4,2.25,2420,10200,2,4,9,2420,97.84,Barato,,,,,
"1,000,000.00",6,2.75,3600,9675,1,4,9,1940,103.36,Barato,,,,,
"2,000,000.00",3,2.75,3050,44867,1,3,9,2330,44.58,Barato,,,,,
"2,000,000.00",4,3,4260,18000,2,3,11,4260,111.11,Barato,,,,,
"2,000,000.00",5,4.25,6490,10862,2,4,11,3940,184.13,Barato,,,,,
"1,025,000,000.00",3,1.75,2640,8000,1,4,9,1320,"128,125.00",Caro,,,,,
"1,025,000,000.00",4,3.5,3320,19850,1,4,10,2040,"51,637.28",Caro,,,,,
"1,038,000,000.00",5,2.75,3050,8904,1,4,8,1650,"116,576.82",Caro,,,,,
"1,065,000,000.00",4,2.25,3240,12930,2,4,9,2730,"82,366.59",Caro,,,,,
"1,075,000,000.00",4,2.5,3000,10920,1,4,8,1550,"98,443.22",Caro,,,,,
"1,075,000,000.00",4,2.75,2580,8100,2,4,8,1780,"132,716.05",Caro,,,,,
"1,081,000,000.00",4,2.25,2100,12172,1,5,9,2100,"88,810.38",Caro,,,,,
"1,085,000,000.00",3,2.5,3630,11019,1,4,9,2150,"98,466.29",Caro,,,,,
"1,085,000,000.00",5,2.25,3650,13068,1,4,10,1850,"83,027.24",Caro,,,,,
"1,118,000,000.00",4,2.5,3840,16619,2,4,10,3840,"67,272.40",Caro,,,,,
"1,135,000,000.00",4,2.75,3840,10004,1,4,9,2110,"113,454.62",Caro,,,,,
"1,165,000,000.00",4,2.25,3080,10487,2,4,9,3080,"111,089.92",Caro,,,,,
"1,195,000,000.00",4,4,4050,9517,2,3,11,3360,"125,564.78",Caro,,,,,
"1,195,000,000.00",5,3,3420,18129,2,3,9,2540,"65,916.49",Caro,,,,,
"1,195,000,000.00",5,2.75,3650,13297,2,5,9,2750,"89,869.90",Caro,,,,,
"1,215,000,000.00",4,2.25,2570,9600,2.5,4,9,2570,"126,562.50",Caro,,,,,
"1,225,000,000.00",4,2.25,3070,16028,1,3,9,1870,"76,428.75",Caro,,,,,
"1,255,000,000.00",4,2.5,3510,13100,2,4,10,3510,"95,801.53",Caro,,,,,
"1,275,000,000.00",4,2.5,2720,16454,1,5,9,1870,"77,488.76",Caro,,,,,
"1,288,000,000.00",5,4,4050,11358,2,4,10,2780,"113,400.25",Caro,,,,,
"1,288,000,000.00",3,2.5,3240,12625,2,3,11,3240,"102,019.80",Caro,,,,,
"1,295,000,000.00",5,3.75,3490,15246,1,4,10,1940,"84,940.31",Caro,,,,,
"1,295,000,000.00",5,4,4440,9270,1,5,10,2220,"139,697.95",Caro,,,,,
"1,298,000,000.00",4,3.5,2790,10125,1.5,5,8,2790,"128,197.53",Caro,,,,,
"1,328,000,000.00",5,3,3340,10796,1,3,9,2120,"123,008.52",Caro,,,,,
"1,339,000,000.00",4,2.5,4250,19387,2,4,9,3260,"69,066.90",Caro,,,,,
"1,375,000,000.00",5,4,3760,22763,1,4,11,1910,"60,405.04",Caro,,,,,
"1,381,000,000.00",4,3.75,3160,9525,2.5,3,10,3160,"144,986.88",Caro,,,,,
"1,387,000,000.00",4,3.5,4010,10880,2,4,11,3150,"127,481.62",Caro,,,,,
"1,393,000,000.00",3,3.5,4240,21578,2,3,10,3500,"64,556.49",Caro,,,,,
"1,395,000,000.00",4,3.5,3560,16782,2,3,10,2560,"83,124.78",Caro,,,,,
"1,505,000,000.00",5,3,3300,33474,1,3,9,1870,"44,960.27",Caro,,,,,
"1,575,000,000.00",4,3.75,3810,9916,2,3,11,3810,"158,834.21",Caro,,,,,
"1,575,000,000.00",5,3.75,4220,9240,2,5,11,3420,"170,454.55",Caro,,,,,
"1,575,000,000.00",3,2,3620,14250,2,3,8,3220,"110,526.32",Caro,,,,,
"1,575,000,000.00",4,3.25,3410,10125,2,3,10,3410,"155,555.56",Caro,,,,,
"1,605,000,000.00",4,3.5,3920,19088,1,3,10,2240,"84,084.24",Caro,,,,,
"1,679,000,000.00",5,4.25,4830,11466,2,3,10,3720,"146,432.93",Caro,,,,,
"1,681,000,000.00",5,5.25,4830,18707,2,5,9,3930,"89,859.41",Caro,,,,,
"1,699,000,000.00",3,3.25,4160,35153,3,3,12,3690,"48,331.58",Caro,,,,,
"1,705,000,000.00",5,3,4290,17100,1,3,9,2480,"99,707.60",Caro,,,,,
"1,795,000,000.00",4,3.25,4060,13000,2,3,11,4060,"138,076.92",Caro,,,,,
"1,795,000,000.00",5,3.25,5270,17232,2,3,10,4010,"104,166.67",Caro,,,,,
"1,815,000,000.00",5,3,3880,13000,2,3,10,3880,"139,615.38",Caro,,,,,
"1,955,000,000.00",3,1.75,3330,12566,1,4,8,1940,"155,578.55",Caro,,,,,
"1,959,000,000.00",5,4.5,6200,23373,3,4,11,5050,"83,814.66",Caro,,,,,
"2,027,000,000.00",4,3.75,4100,22798,1.5,5,11,2540,"88,911.31",Caro,,,,,
"2,196,000,000.00",4,3.25,4250,18000,2,5,10,3350,"122,000.00",Caro,,,,,
"2,298,000,000.00",4,4.25,4070,13860,2,3,10,4070,"165,800.87",Caro,,,,,
"2,321,000,000.00",5,4.75,5780,17004,2,3,11,4260,"136,497.29",Caro,,,,,
"2,367,000,000.00",3,2.25,3530,17450,1,3,9,1840,"135,644.70",Caro,,,,,
"2,485,000,000.00",4,2.5,3440,23954,1.5,5,10,2260,"103,740.50",Caro,,,,,
"4,668,000,000.00",5,6.75,9640,13068,1,3,12,4820,"357,208.45",Caro,,,,,
1.0525e+006,4,2.75,3950,12840,2,5,8,3950,81.97,Barato,,,,,
1.05e+006,6,4,5310,12741,2,3,10,3600,82.41,Barato,,,,,
1.05e+006,3,2.5,3470,12076,2,3,10,2560,86.95,Barato,,,,,
1.06e+006,4,2.5,2250,10160,2,5,8,2250,104.33,Barato,,,,,
1.06e+006,3,2.75,2700,22343,1.5,4,10,2700,47.44,Barato,,,,,
1.0875e+006,2,2,2360,11340,1.5,3,9,2360,95.90,Barato,,,,,
1.13e+006,4,3.5,4300,8406,2,3,11,3580,134.43,Barato,,,,,
1.16e+006,4,3.75,3560,13959,2,4,9,3560,83.10,Barato,,,,,
1.17e+006,5,2.75,3090,12031,1,5,9,1600,97.25,Barato,,,,,
1.18e+006,5,2.25,3270,16553,2,5,9,2470,71.29,Barato,,,,,
1.1995e+006,4,2.5,3240,13044,2,4,9,3240,91.96,Barato,,,,,
1.19e+006,4,2.5,3160,13194,2,5,10,3160,90.19,Barato,,,,,
1.19e+006,5,3,3330,19126,2,4,11,2610,62.22,Barato,,,,,
1.1e+006,5,2.75,2830,18050,1,5,7,1630,60.94,Barato,,,,,
1.1e+006,5,2.75,2890,22547,1,4,10,2150,48.79,Barato,,,,,
1.2275e+006,4,2.5,3180,10319,2,4,11,3180,118.96,Barato,,,,,
1.22e+006,4,2.25,3200,15367,2,4,9,3200,79.39,Barato,,,,,
1.23e+006,4,2.5,3040,7000,2,3,9,3040,175.71,Barato,,,,,
1.2565e+006,4,2.5,3150,13700,2,4,9,3150,91.72,Barato,,,,,
1.25e+006,5,3.25,3160,13238,2,5,8,3160,94.43,Barato,,,,,
1.25e+006,4,3.75,4520,9240,1.5,3,10,3270,135.28,Barato,,,,,
1.25e+006,5,3.25,3930,12719,2,4,10,2540,98.28,Barato,,,,,
1.25e+006,4,2.25,3300,15375,1.5,3,8,2820,81.30,Barato,,,,,
1.25e+006,4,3.25,3820,24166,2,4,11,3310,51.73,Barato,,,,,
1.2605e+006,4,2.5,3730,16950,2,3,10,3730,74.37,Barato,,,,,
1.2806e+006,4,2.5,3560,15450,1,5,8,2060,82.89,Barato,,,,,
1.29889e+006,5,2.25,2690,10800,1,4,8,2020,120.27,Barato,,,,,
1.2e+006,3,1.75,1560,8078,1.5,4,6,1560,148.55,Barato,,,,,
1.2e+006,4,2.5,3180,13118,2,4,11,3180,91.48,Barato,,,,,
1.2e+006,4,2.25,2320,13114,2,5,8,2320,91.51,Barato,,,,,
1.32162e+006,5,2.75,2410,19447,2,3,10,2290,67.96,Barato,,,,,
1.33e+006,4,3.5,3440,9776,2,3,10,3440,136.05,Barato,,,,,
1.35e+006,4,3.25,3300,15907,2,5,10,3300,84.87,Barato,,,,,
1.35e+006,4,3.5,3500,9525,2,3,10,3500,141.73,Barato,,,,,
1.37e+006,5,2.25,3510,13843,1,3,8,1850,98.97,Barato,,,,,
1.38e+006,5,4.25,4050,18827,1,4,10,2150,73.30,Barato,,,,,
1.40689e+006,5,2.25,3580,16789,2,5,9,3580,83.80,Barato,,,,,
1.43889e+006,5,3.5,3420,8000,2,3,10,3420,179.86,Barato,,,,,
1.46e+006,4,3.5,4200,14353,2,3,12,3640,101.72,Barato,,,,,
1.4849e+006,5,2.5,4570,19252,2,5,10,4570,77.13,Barato,,,,,
1.49e+006,5,3.5,3620,7821,2,3,10,2790,190.51,Barato,,,,,
1.4e+006,4,4.5,3080,10550,2,3,8,1940,132.70,Barato,,,,,
1.4e+006,5,4.25,3530,7924,2,3,10,3530,176.68,Barato,,,,,
1.51e+006,5,3.25,4390,11250,2,3,10,4390,134.22,Barato,,,,,
1.52e+006,6,3.5,3720,11690,2,3,10,3720,130.03,Barato,,,,,
1.53e+006,4,2.25,4250,16940,1,4,9,2380,90.32,Barato,,,,,
1.55e+006,4,4,5280,17677,2,3,11,3220,87.68,Barato,,,,,
1.55e+006,5,3.25,3370,17458,1,5,10,2000,88.78,Barato,,,,,
1.56435e+006,4,3.75,3730,17000,2,4,10,2820,92.02,Barato,,,,,
1.58e+006,4,2.75,3120,20031,1,4,9,1980,78.88,Barato,,,,,
1.58e+006,4,2.5,2900,10500,1,5,8,1450,150.48,Barato,,,,,
1.5e+006,5,3.25,2590,11500,1,4,9,2590,130.43,Barato,,,,,
1.61e+006,5,3.75,3530,13260,2,3,10,3530,121.42,Barato,,,,,
1.61e+006,4,3.5,4390,11600,2,3,11,3060,138.79,Barato,,,,,
1.65e+006,4,4.5,5550,16065,2,3,9,3880,102.71,Barato,,,,,
1.68e+006,5,3.25,4860,23723,2,4,11,3820,70.82,Barato,,,,,
1.6e+006,5,3.5,4050,20925,2,3,10,3020,76.46,Barato,,,,,
1.6e+006,5,3.75,3570,10125,2,3,10,3570,158.02,Barato,,,,,
1.7025e+006,5,4.5,5190,23716,2,3,11,3390,71.79,Barato,,,,,
1.73e+006,4,3.5,4440,20668,2,5,10,3240,83.70,Barato,,,,,
1.73e+006,5,3.5,5000,26540,2,3,10,3410,65.18,Barato,,,,,
1.7e+006,5,5,4930,14649,2,3,11,4160,116.05,Barato,,,,,
1.7e+006,4,3.5,4330,15335,2,4,11,3230,110.86,Barato,,,,,
1.8399e+006,4,3.25,4140,11007,2,3,10,4140,167.16,Barato,,,,,
1.87e+006,5,4,4510,15175,2,3,10,4510,123.23,Barato,,,,,
1.95e+006,7,3.5,4640,15235,2,3,11,2860,127.99,Barato,,,,,
1.9e+006,4,2.25,3020,11489,1.5,5,10,2110,165.38,Barato,,,,,
1.9e+006,5,4.25,6510,16471,2,4,11,3250,115.35,Barato,,,,,
2.35196e+006,4,4.25,5010,19412,2,3,11,4000,121.16,Barato,,,,,
2.45e+006,4,4.5,5030,11023,2,3,11,3250,222.26,Barato,,,,,
2.4e+006,4,4.25,4890,15188,2,3,11,3090,158.02,Barato,,,,,
2.6e+006,3,3,3410,16015,2,4,10,2220,162.35,Barato,,,,,
2.7e+006,5,2.75,3831,13800,2,3,9,3831,195.65,Barato,,,,,
2.95e+006,5,4.75,6240,47480,1,3,11,4610,62.13,Barato,,,,,
3.1e+006,3,3,3920,13085,2,4,11,3920,236.91,Barato,,,,,
3.1e+006,6,4.25,6980,15682,3,4,12,5330,197.68,Barato,,,,,
3.4e+006,3,4.5,5230,17826,2,3,10,3740,190.73,Barato,,,,,
3.85e+006,4,4.25,5770,21300,2,4,11,5770,180.75,Barato,,,,,
5.3e+006,6,6,7390,24829,2,4,12,5000,213.46,Barato,,,,,
