ID,Bathrooms,sqft_living,condition,grade,sqft_above,floors,Barata/Cara
1,3,1,2,3,1,2,Barato
2,3,3,2,1,1,2,Barato
3,3,1,3,2,1,2,Barato
4,1,1,3,3,1,2,Barato
5,3,3,2,3,1,2,Caro
6,2,1,3,3,3,3,Caro
7,3,1,2,3,1,3,Barato
8,3,1,3,2,3,3,Caro
9,3,3,3,3,3,3,Caro
10,1,1,3,2,1,2,Barato
11,1,1,3,1,1,2,Barato
12,3,3,2,3,3,3,Caro
13,3,3,3,3,3,3,Caro
14,3,3,3,3,3,3,Caro
15,3,3,2,3,3,3,Caro
16,3,3,3,3,1,2,Caro
17,3,1,2,3,1,3,Barato
18,3,1,3,3,1,2,Barato
19,3,1,3,2,1,3,Barato
20,3,3,3,3,3,3,Caro
21,3,3,2,3,1,2,Caro
22,3,1,3,3,1,3,Caro
23,3,1,3,3,1,3,Caro
24,3,1,1,1,1,2,Barato
25,3,1,2,3,3,3,Caro
26,3,1,3,3,1,2,Barato
27,3,3,2,3,3,3,Caro
28,3,3,2,3,3,3,Caro
29,3,1,3,2,1,2,Barato
30,3,3,2,3,3,3,Caro
31,3,1,3,1,1,2,Barato
32,3,1,3,3,3,2,Caro
33,1,1,3,1,1,3,Barato
34,3,1,2,3,1,2,Barato
35,3,3,3,3,3,3,Caro
36,1,1,3,3,1,2,Barato
37,3,3,3,3,1,2,Caro
38,3,3,3,3,3,3,Caro
39,3,1,3,3,1,2,Barato
40,3,1,3,3,1,2,Barato
41,3,3,2,3,3,3,Caro
42,3,1,3,3,3,3,Caro
43,3,3,2,3,1,3,Caro
44,3,3,3,3,1,2,Caro
45,1,1,3,1,1,2,Barato
46,3,3,2,3,3,3,Caro
47,1,1,3,1,1,2,Barato
48,3,1,2,2,1,3,Barato
49,1,1,3,1,1,2,Barato
50,3,3,3,2,3,3,Caro
51,3,3,3,2,1,2,Caro
52,3,3,2,3,3,3,Caro
53,3,1,3,1,1,2,Barato
54,3,3,3,2,1,2,Caro
55,3,1,3,2,1,2,Barato
56,1,1,3,3,1,2,Barato
57,3,3,2,3,3,3,Caro
58,3,1,3,2,1,2,Barato
59,1,1,3,2,1,2,Barato
60,3,1,3,2,1,2,Barato
61,3,1,3,2,1,2,Barato
62,2,1,3,1,1,2,Barato
63,3,3,2,2,3,3,Caro
64,3,3,3,3,3,3,Caro
65,3,3,2,3,3,2,Caro
66,3,1,3,3,1,3,Caro
67,3,1,3,3,1,2,Barato
68,3,1,3,3,1,2,Barato
69,3,1,3,2,1,2,Barato
70,3,1,3,3,1,3,Caro
71,3,3,2,3,3,3,Caro
72,3,3,2,3,3,3,Caro
73,3,1,3,2,1,2,Barato
74,3,3,3,3,1,3,Caro
75,3,3,2,3,3,3,Caro
76,3,3,2,3,3,3,Caro
77,1,1,3,1,1,2,Barato
78,2,1,3,1,1,2,Barato
79,3,3,3,3,1,2,Caro
80,1,1,3,3,1,2,Barato
81,2,1,2,2,1,2,Barato
82,3,1,3,1,1,2,Barato
83,3,1,3,2,1,2,Barato
84,3,3,3,3,3,3,Caro
85,3,1,3,1,1,2,Barato
86,3,1,3,3,1,2,Barato
87,2,1,2,3,1,3,Barato
88,3,3,2,3,3,3,Caro
89,1,1,2,2,1,2,Barato
90,3,3,2,3,3,3,Caro
91,2,1,3,1,1,2,Barato
92,3,3,2,3,3,3,Caro
93,1,1,3,1,1,2,Barato
94,3,3,3,3,3,3,Caro
95,3,1,3,3,1,3,Caro
96,3,3,3,3,3,3,Caro
97,3,1,3,3,1,2,Barato
98,3,3,2,3,3,3,Caro
99,3,3,3,3,1,2,Caro
100,3,3,3,3,3,3,Caro
101,3,3,2,3,3,3,Caro
102,3,3,3,3,3,3,Caro
103,3,3,2,2,1,2,Barato
104,3,1,3,2,1,2,Barato
105,3,3,3,3,3,3,Caro
106,3,3,3,3,1,2,Caro
107,3,3,2,3,3,3,Caro
108,3,3,2,3,3,3,Caro
109,3,1,3,3,1,2,Barato
110,3,3,2,3,1,2,Caro
111,3,3,3,3,3,3,Caro
112,2,1,3,1,1,2,Barato
113,3,1,3,3,1,3,Caro
114,3,1,3,2,1,2,Barato
115,3,3,2,3,3,3,Caro
116,3,3,2,3,3,2,Caro
117,1,1,2,1,1,2,Barato
118,1,1,3,1,1,2,Barato
119,3,3,2,3,3,3,Caro
120,1,1,3,1,1,2,Barato
121,3,1,3,3,3,3,Caro
122,3,3,3,3,1,2,Caro
123,3,3,3,3,3,3,Caro
124,2,1,3,2,1,2,Barato
125,3,3,2,3,3,3,Caro
126,3,1,2,2,1,2,Barato
127,3,3,3,3,3,3,Caro
128,3,3,3,3,1,2,Caro
129,1,1,3,1,1,2,Barato
130,3,3,2,3,3,3,Caro
131,3,1,2,2,1,3,Barato
132,3,3,3,2,3,3,Caro
133,1,3,3,2,1,2,Barato
134,1,1,2,1,1,2,Barato
135,1,1,3,1,1,2,Barato
136,3,3,2,3,3,3,Caro
137,1,1,3,1,1,2,Barato
138,3,1,3,2,1,2,Barato
139,3,1,3,3,1,3,Caro
140,3,3,3,3,3,3,Caro
141,3,1,3,2,1,2,Barato
142,3,1,3,2,1,3,Barato
143,3,3,3,3,3,3,Caro
144,3,3,3,3,3,3,Caro
145,3,1,3,2,1,2,Barato
146,2,1,3,2,1,2,Barato
147,1,1,3,2,1,2,Barato
148,3,1,2,2,3,3,Caro
149,3,1,2,2,1,2,Barato
150,3,1,3,3,3,2,Caro
151,3,1,3,3,3,3,Caro
152,1,1,3,2,1,2,Barato
153,3,3,3,3,3,3,Caro
154,3,1,3,2,1,3,Barato
155,1,1,3,2,1,2,Barato
156,3,3,2,3,3,3,Caro
157,3,3,3,3,1,2,Caro
158,3,1,3,3,1,3,Caro
159,1,1,2,1,1,2,Barato
160,3,1,3,3,1,3,Caro
161,1,1,3,2,1,2,Barato
162,3,3,2,3,3,3,Caro
163,3,3,2,3,3,3,Caro
164,1,1,3,2,1,2,Barato
165,1,1,3,1,1,2,Barato
166,1,1,3,3,1,2,Barato
167,3,3,2,3,3,2,Caro
168,3,3,3,3,1,3,Caro
169,2,1,3,3,1,2,Barato
170,1,1,2,2,1,2,Barato
171,1,1,3,3,1,2,Barato
172,3,3,2,3,3,3,Caro
173,3,3,3,3,3,3,Caro
174,3,1,3,3,3,3,Caro
175,3,3,3,3,3,3,Caro
176,3,3,3,3,3,3,Caro
177,3,3,3,3,3,3,Caro
178,3,3,3,3,3,3,Caro
179,3,1,2,1,1,2,Barato
180,3,3,2,3,3,3,Caro
181,3,3,2,3,3,3,Caro
182,1,1,2,1,1,2,Barato
183,3,1,3,3,3,3,Caro
184,1,1,2,2,1,3,Barato
185,3,1,3,1,1,2,Barato
186,3,3,3,3,1,2,Caro
187,3,1,3,3,3,3,Caro
188,2,1,3,1,1,2,Barato
189,3,3,3,3,3,3,Caro
190,3,1,3,3,3,3,Caro
191,3,3,2,3,3,3,Caro
192,3,3,2,3,3,3,Caro
193,3,1,3,2,1,2,Barato
194,1,1,3,2,1,2,Barato
195,3,1,3,3,1,2,Barato
196,3,1,2,3,1,3,Barato
197,1,1,3,3,1,2,Barato
198,3,3,2,3,3,3,Caro
199,3,1,3,2,1,2,Barato
200,3,1,3,2,1,3,Barato
201,2,3,3,2,1,2,Barato
202,1,1,2,2,1,2,Barato
203,1,1,3,2,1,3,Barato
204,3,3,3,3,3,3,Caro
205,3,3,2,3,3,3,Caro
206,3,1,3,3,1,2,Barato
207,3,3,3,3,3,3,Caro
208,3,3,3,2,1,2,Caro
209,3,3,3,3,1,3,Caro
210,3,3,2,3,3,3,Caro
211,3,1,2,2,1,2,Barato
212,3,3,3,3,1,2,Caro
213,1,1,2,2,1,2,Barato
214,3,1,3,3,1,2,Barato
215,3,1,2,2,3,3,Caro
216,3,1,3,3,3,3,Caro
217,3,1,3,2,1,3,Barato
218,3,3,3,3,3,3,Caro
219,3,3,3,3,3,3,Caro
220,1,1,3,2,1,2,Barato
221,3,3,2,3,3,3,Caro
222,3,3,3,3,3,3,Caro
223,3,1,3,2,1,2,Barato
224,3,1,3,3,1,3,Caro
225,3,3,3,3,3,3,Caro
226,3,3,3,3,1,2,Caro
227,3,3,2,3,3,3,Caro
228,3,3,2,3,3,3,Caro
229,3,3,3,3,3,3,Caro
230,1,1,3,2,1,2,Barato
231,1,1,3,2,1,2,Barato
232,3,1,3,2,1,2,Barato
233,1,1,3,3,3,2,Barato
234,3,1,3,3,1,2,Barato
235,3,1,2,2,1,2,Barato
236,3,3,2,3,3,3,Caro
237,3,3,3,1,1,2,Barato
238,3,1,3,1,1,2,Barato
239,3,1,3,2,1,2,Barato
240,3,1,2,2,1,2,Barato
241,3,1,3,2,3,3,Caro
242,3,3,3,3,3,3,Caro
243,3,3,3,3,1,2,Caro
244,3,3,2,3,3,3,Caro
245,3,1,3,2,1,2,Barato
246,3,3,2,3,3,3,Caro
247,3,3,3,3,3,3,Caro
248,3,3,3,2,3,3,Caro
249,3,1,2,1,1,2,Barato
250,3,3,2,3,3,3,Caro
251,3,1,3,3,1,2,Barato
252,3,1,3,3,3,3,Caro
253,3,3,3,3,3,3,Caro
254,3,1,2,3,1,3,Barato
255,3,3,2,2,3,3,Caro
256,3,3,3,3,3,3,Caro
257,1,1,2,2,1,2,Barato
258,3,3,2,3,3,3,Caro
259,3,3,2,3,1,2,Caro
260,1,1,2,1,1,2,Barato
261,1,1,2,2,1,3,Barato
262,3,3,3,3,3,3,Caro
263,3,3,3,3,3,3,Caro
264,2,1,2,3,1,3,Barato
265,1,1,3,1,1,2,Barato
266,1,1,3,1,1,2,Barato
267,3,3,3,3,1,2,Caro
268,3,1,3,2,1,2,Barato
269,3,1,2,2,3,3,Caro
270,1,1,1,2,1,2,Barato
271,1,1,3,2,1,2,Barato
272,3,1,2,3,1,2,Barato
273,3,3,3,3,3,3,Caro
274,3,3,3,3,1,2,Caro
275,3,3,2,3,3,3,Caro
276,2,3,2,2,3,3,Caro
277,3,3,2,3,3,3,Caro
278,3,3,2,3,3,3,Caro
279,3,3,2,3,3,3,Caro
280,3,3,2,3,3,3,Caro
281,3,3,2,3,3,3,Caro
282,3,3,2,3,3,3,Caro
